protocol,ip_src,ip_dst,port_src,port_dst,packet_length,timestamp,ttl,label
TCP,192.168.100.20,192.168.100.10,55754,22,66,1771716430.787197,64,normal
TCP,192.168.100.20,192.168.100.10,55754,22,102,1771716430.837526,64,normal
TCP,192.168.100.10,192.168.100.20,22,55754,102,1771716430.837614,64,normal
TCP,192.168.100.20,192.168.100.10,55754,22,66,1771716430.837891,64,normal
TCP,192.168.100.20,192.168.100.10,55754,22,102,1771716430.903722,64,normal
TCP,192.168.100.10,192.168.100.20,22,55754,118,1771716430.903879,64,normal
TCP,192.168.100.20,192.168.100.10,55754,22,66,1771716430.904214,64,normal
TCP,192.168.100.10,192.168.100.20,22,55754,134,1771716430.905802,64,normal
TCP,192.168.100.10,192.168.100.20,22,55754,182,1771716430.905861,64,normal
TCP,192.168.100.20,192.168.100.10,55754,22,66,1771716430.906168,64,normal
TCP,192.168.100.20,192.168.100.10,55754,22,66,1771716430.906168,64,normal
TCP,192.168.100.20,192.168.100.10,55754,22,102,1771716431.021612,64,normal
TCP,192.168.100.10,192.168.100.20,22,55754,102,1771716431.021826,64,normal
TCP,192.168.100.20,192.168.100.10,55754,22,66,1771716431.022253,64,normal
TCP,192.168.100.20,192.168.100.10,55754,22,102,1771716431.130941,64,normal
TCP,192.168.100.10,192.168.100.20,22,55754,102,1771716431.131035,64,normal
TCP,192.168.100.20,192.168.100.10,55754,22,66,1771716431.131587,64,normal
TCP,192.168.100.20,192.168.100.10,55754,22,102,1771716431.170586,64,normal
TCP,192.168.100.10,192.168.100.20,22,55754,102,1771716431.170707,64,normal
TCP,192.168.100.20,192.168.100.10,55754,22,66,1771716431.171111,64,normal
TCP,192.168.100.20,192.168.100.10,55754,22,102,1771716431.191459,64,normal
TCP,192.168.100.10,192.168.100.20,22,55754,102,1771716431.19158,64,normal
TCP,192.168.100.20,192.168.100.10,55754,22,102,1771716431.212249,64,normal
TCP,192.168.100.10,192.168.100.20,22,55754,102,1771716431.212392,64,normal
TCP,192.168.100.20,192.168.100.10,55754,22,102,1771716431.249751,64,normal
TCP,192.168.100.10,192.168.100.20,22,55754,102,1771716431.249918,64,normal
TCP,192.168.100.20,192.168.100.10,55754,22,102,1771716431.273156,64,normal
TCP,192.168.100.10,192.168.100.20,22,55754,102,1771716431.273241,64,normal
TCP,192.168.100.20,192.168.100.10,55754,22,102,1771716431.299658,64,normal
TCP,192.168.100.10,192.168.100.20,22,55754,102,1771716431.299779,64,normal
TCP,192.168.100.20,192.168.100.10,55754,22,102,1771716431.333513,64,normal
TCP,192.168.100.10,192.168.100.20,22,55754,102,1771716431.333634,64,normal
TCP,192.168.100.20,192.168.100.10,55754,22,102,1771716431.368204,64,normal
TCP,192.168.100.10,192.168.100.20,22,55754,102,1771716431.368325,64,normal
TCP,192.168.100.20,192.168.100.10,55754,22,102,1771716431.39155,64,normal
TCP,192.168.100.10,192.168.100.20,22,55754,102,1771716431.391672,64,normal
TCP,192.168.100.20,192.168.100.10,55754,22,102,1771716431.412764,64,normal
TCP,192.168.100.10,192.168.100.20,22,55754,102,1771716431.41291,64,normal
TCP,192.168.100.20,192.168.100.10,55754,22,102,1771716431.441543,64,normal
TCP,192.168.100.10,192.168.100.20,22,55754,102,1771716431.441661,64,normal
TCP,192.168.100.20,192.168.100.10,55754,22,102,1771716431.468939,64,normal
TCP,192.168.100.10,192.168.100.20,22,55754,102,1771716431.469082,64,normal
TCP,192.168.100.20,192.168.100.10,55754,22,102,1771716431.501953,64,normal
TCP,192.168.100.10,192.168.100.20,22,55754,102,1771716431.502074,64,normal
TCP,192.168.100.20,192.168.100.10,55754,22,102,1771716431.53424,64,normal
TCP,192.168.100.10,192.168.100.20,22,55754,102,1771716431.53439,64,normal
TCP,192.168.100.20,192.168.100.10,55754,22,102,1771716431.556302,64,normal
TCP,192.168.100.10,192.168.100.20,22,55754,102,1771716431.556423,64,normal
TCP,192.168.100.20,192.168.100.10,55754,22,102,1771716431.584656,64,normal
TCP,192.168.100.10,192.168.100.20,22,55754,102,1771716431.584819,64,normal
TCP,192.168.100.20,192.168.100.10,55754,22,102,1771716431.617871,64,normal
TCP,192.168.100.10,192.168.100.20,22,55754,102,1771716431.617958,64,normal
TCP,192.168.100.20,192.168.100.10,55754,22,102,1771716431.639911,64,normal
TCP,192.168.100.10,192.168.100.20,22,55754,102,1771716431.640033,64,normal
TCP,192.168.100.20,192.168.100.10,55754,22,102,1771716431.662165,64,normal
TCP,192.168.100.10,192.168.100.20,22,55754,102,1771716431.662284,64,normal
TCP,192.168.100.20,192.168.100.10,55754,22,102,1771716431.68265,64,normal
TCP,192.168.100.10,192.168.100.20,22,55754,102,1771716431.682736,64,normal
TCP,192.168.100.20,192.168.100.10,55754,22,102,1771716431.706643,64,normal
TCP,192.168.100.10,192.168.100.20,22,55754,102,1771716431.706761,64,normal
TCP,192.168.100.20,192.168.100.10,55754,22,102,1771716431.729207,64,normal
TCP,192.168.100.10,192.168.100.20,22,55754,102,1771716431.730008,64,normal
TCP,192.168.100.20,192.168.100.10,55754,22,102,1771716431.755098,64,normal
TCP,192.168.100.10,192.168.100.20,22,55754,102,1771716431.755271,64,normal
TCP,192.168.100.20,192.168.100.10,55754,22,102,1771716431.775526,64,normal
TCP,192.168.100.10,192.168.100.20,22,55754,102,1771716431.775781,64,normal
TCP,192.168.100.20,192.168.100.10,55754,22,102,1771716431.804016,64,normal
TCP,192.168.100.10,192.168.100.20,22,55754,102,1771716431.804213,64,normal
TCP,192.168.100.20,192.168.100.10,55754,22,102,1771716431.842369,64,normal
TCP,192.168.100.10,192.168.100.20,22,55754,102,1771716431.842527,64,normal
TCP,192.168.100.20,192.168.100.10,55754,22,102,1771716431.864623,64,normal
TCP,192.168.100.10,192.168.100.20,22,55754,102,1771716431.8648,64,normal
TCP,192.168.100.20,192.168.100.10,55754,22,102,1771716431.894425,64,normal
TCP,192.168.100.10,192.168.100.20,22,55754,102,1771716431.894626,64,normal
TCP,192.168.100.20,192.168.100.10,55754,22,102,1771716431.920016,64,normal
TCP,192.168.100.10,192.168.100.20,22,55754,102,1771716431.920204,64,normal
